Complete Dictionary
---------------------------------
Word                | Count
---------------------------------
a                   | 132
able                | 11
about               | 32
abroad              | 1
absolutely          | 1
achilles            | 1
acknowledge         | 1
acknowledges        | 2
acquaint            | 1
acquainted          | 1
acquired            | 1
acquires            | 1
acquit              | 1
actions             | 1
actor               | 1
actors              | 2
adduced             | 1
admires             | 1
admission           | 1
admit               | 3
admitted            | 1
afar                | 1
affected            | 1
affords             | 2
after               | 4
again               | 2
aglaophon           | 1
agree               | 5
agreefor            | 1
agrees              | 1
akin                | 1
aliens              | 1
all                 | 28
allegorical         | 1
allow               | 1
allowed             | 2
allusion            | 1
almost              | 1
along               | 1
already             | 2
also                | 14
alsohe              | 1
alternative         | 2
alternatives        | 1
although            | 2
always              | 3
am                  | 17
among               | 3
an                  | 11
analogy             | 1
ancient             | 1
and                 | 276
andromache          | 1
andros              | 1
another             | 11
answer              | 3
answered            | 1
answers             | 1
antilochus          | 1
any                 | 28
anything            | 1
aphorism            | 1
apollodorus         | 1
apology             | 1
apparition          | 1
appear              | 1
appears             | 2
appoint             | 1
appointed           | 3
appreciating        | 1
appropriated        | 1
apt                 | 1
archilochus         | 2
archilochushe       | 1
are                 | 81
argue               | 1
argument            | 5
aristotle           | 1
arithmetic          | 2
arithmetician       | 1
armies              | 1
arrives             | 1
arrows              | 1
art                 | 57
arts                | 8
artsthat            | 1
as                  | 64
asclepius           | 2
ask                 | 8
asks                | 2
aspect              | 1
asscher             | 1
assign              | 1
assume              | 1
assure              | 1
at                  | 31
athenians           | 3
athens              | 3
attain              | 1
attained            | 1
attended            | 1
attention           | 3
attentive           | 1
attire              | 1
attracting          | 1
attracts            | 1
attribute           | 1
attributes          | 1
audience            | 1
authenticated       | 1
avoid               | 1
awake               | 1
aware               | 1
away                | 3
bacchic             | 1
back                | 2
bad                 | 7
battle              | 1
be                  | 51
bear                | 1
beautiful           | 5
beauty              | 1
became              | 1
because             | 3
become              | 1
becomes             | 1
been                | 9
bees                | 1
before              | 1
behaves             | 1
behold              | 1
being               | 5
believe             | 2
belonged            | 1
belongs             | 1
below               | 1
bend                | 1
benjamin            | 1
bent                | 1
beside              | 1
best                | 9
better              | 22
between             | 5
bids                | 1
bird                | 1
bloody              | 1
bore                | 1
borne               | 1
both                | 3
breast              | 1
brightens           | 1
bring               | 2
bronze              | 1
brought             | 1
bursts              | 1
but                 | 52
by                  | 51
call                | 1
calls               | 1
came                | 2
can                 | 15
cannot              | 2
care                | 1
careful             | 1
carpenter           | 1
carried             | 2
carrying            | 1
case                | 1
casting             | 1
catching            | 1
certain             | 2
certainly           | 6
chain               | 5
chalcidian          | 1
chariot             | 1
chariotdriving      | 1
charioteer          | 8
cheeks              | 1
cheese              | 1
childlike           | 1
choose              | 1
choral              | 1
choruses            | 1
chosen              | 1
circumstance        | 1
city                | 3
clazomenae          | 1
clearly             | 4
clearness           | 1
clothes             | 1
come                | 3
command             | 1
common              | 1
commonest           | 1
commonly            | 1
commonplace         | 1
company             | 2
companyin           | 1
compare             | 1
compared            | 1
compelled           | 1
competitorsand      | 1
compose             | 1
composing           | 1
composition         | 1
concentration       | 1
concerning          | 1
concubine           | 1
confess             | 1
confident           | 1
confirmation        | 1
confirmed           | 1
confused            | 1
conscious           | 1
consider            | 3
consists            | 1
contained           | 3
contests            | 1
continually         | 1
contradiction       | 1
contrary            | 1
contrast            | 2
contrasts           | 1
conversation        | 1
conversing          | 2
correct             | 1
corresponding       | 1
corybantian         | 2
could               | 3
countenances        | 1
countrymen          | 1
course              | 1
court               | 1
cowherd             | 2
cows                | 1
criticizing         | 1
critics             | 1
crowd               | 1
crown               | 2
crowns              | 1
